,date,distance,id,latitude,longitude,place_id,post_id,text,uid
74,1537475616.0,6496,380591984_853,59.918515,30.497243,10514009.0,853.0,,380591984.0
75,1537475560.0,7160654,56852301_1576,0.0,0.0,0.0,1576.0,💭 ,56852301.0
76,1537475528.0,7160654,3894709_16128,0.0,0.0,0.0,16128.0,"Красота в деталях, в интонациях, в особенностях",3894709.0
77,1537475389.0,7160654,152354486_1631,0.0,0.0,0.0,1631.0,"let’s start predict 😉<br>Кто из этих двух мужчин будет мне больше импонировать? Делаем ставки в комментариях, угадавшим с меня фруктовый батончик🏆#бешенаясушка #фитнесгид #василийсмольный #дениссеменихин  ",152354486.0
78,1537475291.0,7160654,46134289_4824,0.0,0.0,0.0,4824.0,"Сегодня чудесный день 😊<br>Ещё одно обучение в школе parisnailschool в копилочке 😉 <br>Хочется сказать огромное спасибо замечательному преподавателю  [id68988838|levi_spb] 🌸🌸🌸 Ирина , выше всяких похвал 👏🏼👏🏼👏🏼была очень рада побыть мастером-моделью 👍 за шикарный маникюр спасибо elizarovanails 💅🏻🌸 Умничка 👏🏼👏🏼👏🏼Ногти у нас получились  бомбические 🔥🔥💅🏻и сама того не подозревая , до начала обучения , сделала фото и на нем ты ☝️☝️☝️ Удачи тебе, достижения новых целей  и благодарных клиентов ❤️",46134289.0
79,1537475259.0,7160654,43778541_1158,0.0,0.0,0.0,1158.0,Наш #первый поход в #экзоопарк🐢🐇🐓🐐🐍🐸🐒🐵🐆🐟🐠 #тркрио#тркриоспб#тркриодетям#дочьввосторге😁,43778541.0
80,1537475077.0,7160654,216237266_847,0.0,0.0,0.0,847.0,"Искал, нашел!<br>Развели! ",216237266.0
81,1537475064.0,7160654,383470914_347,0.0,0.0,0.0,347.0,🍂,383470914.0
82,1537475054.0,7940,1865430_13054,59.866224,30.380201,17502623.0,13054.0,"Сегодня прошла регистрация на Открытый Чемпионат Санкт-Петербурга по Бодибилдингу и Фитнесу🏆<br>.<br>Отвечаю на частый вопрос: в этот раз турнир веду не я! <br>Я буду принимать участие в судействе завтра и на финальном шоу «СЕВЕРНАЯ ПАЛЬМИРА» в воскресенье, в рамках которого пройдут абсолютные первенства среди лучших представителей бодибилдинга и фитнеса(отобранных в первые два дня)😎💪🏽<br>.<br>Прямую он-лайн трансляцию вы традиционно сможете посмотреть на канале [club44926206|@getbigtv]<br>.<br>‼️РАСПИСАНИЕ‼️<br>21 сентября, 11:00 - 20:00:<br>- фитнес - девочки, мальчики, юниорки<br>- бодибилдинг - юноши, юниоры, мастера<br>- фитнес-бикини <br>22 сентября, 11:00 - 20:00:<br>-фитнес - мужчины<br>-классический бодибилдинг-женщины<br>- велнес-фитнес<br>- классический бодибилдинг- мужчины.<br>-смешанные пары<br>-бодифитнес<br>- бодибилдинг <br>23 сентября, 11:00-20:00<br>- атлетический бодибилдинг<br>- фит-модель<br>- пляжный бодибилдинг.<br>С 16:00-финальное шоу ""Северная Пальмира""<br>.<br>БИЛЕТЫ УЖЕ В ПРОДАЖЕ НА САЙТЕ: fbbspb.ru/ticketts<br>Активная ссылка для покупки билетов в шапке профиля @fbbspb_official",1865430.0
83,1537475046.0,7160654,9578465_239,0.0,0.0,0.0,239.0,Ужин с моими девочками! 😍 ,9578465.0
84,1537475033.0,7160654,875783_12908,0.0,0.0,0.0,12908.0,"Высоко стою, далеко смотрю 😁",875783.0
85,1537475029.0,7160654,78259088_29154,0.0,0.0,0.0,29154.0,Одно из любимых мест..🦆 ,78259088.0
86,1537475005.0,7160654,1901175_24781,0.0,0.0,0.0,24781.0,"Провели отличный вечер с московскими коллегами Аллой Кинякиной и Леной Ратничкиной , обсудили будущее регрессивной терапии как прикладной науки Будущего и выводы у меня такие: <br><br>- Регрессивная терапия, Энерготерапия и терапия Души должна и будет преподаваться во всех психологических ВУЗАХ страны и мы все для этого сделаем <br><br>- нужно собрать научную, исследовательскую и доказательную базу и мы ее соберем <br><br>- приглашаем всех коллег к этому присоединиться! - русские регрессологи одни из лучших регрессологов мира! <br><br>И на Международной конференции регрессологов в Москве через 5 лет мы это докажем!<br><br>Да будет так!",1901175.0
87,1537474898.0,7160654,398570_18878,0.0,0.0,0.0,18878.0,"#Repost [id26882755|katitkaaa] with get_repost<br>・・・<br>К-Классика половина моего лица, ну и женщины 🐾 ",398570.0
88,1537474849.0,7160654,163105985_2896,0.0,0.0,0.0,2896.0,,163105985.0
89,1537474753.0,7160654,19640605_3233,0.0,0.0,0.0,3233.0,"С Днём Рождения, Руслан!!!👦🏻🎉🎁🎈🚗#первыйюбилей5лет 💫💫💫 ",19640605.0
90,1537474898.0,7160654,398570_18878,0.0,0.0,0.0,18878.0,"#Repost [id26882755|katitkaaa] with get_repost<br>・・・<br>К-Классика половина моего лица, ну и женщины 🐾 ",398570.0
91,1537474849.0,7160654,163105985_2896,0.0,0.0,0.0,2896.0,,163105985.0
92,1537474753.0,7160654,19640605_3233,0.0,0.0,0.0,3233.0,"С Днём Рождения, Руслан!!!👦🏻🎉🎁🎈🚗#первыйюбилей5лет 💫💫💫 ",19640605.0
93,1537474753.0,7160654,19640605_3233,0.0,0.0,0.0,3233.0,"С Днём Рождения, Руслан!!!👦🏻🎉🎁🎈🚗#первыйюбилей5лет 💫💫💫 ",19640605.0
94,1537478962.0,7160826,145052233_2891,0.0,0.0,0.0,2891.0,Начала скулить по отпуску🙄 Хочу тепла🌴солнышка☀️Моря и несколько дней без связи и интернета✈️🏝🛥🥂А вот этого всего🌥🚶‍♀️🌧☔️👩‍💻🏦📞💳📬🚇 не хочу 🙅‍♀️🤦‍♀️🙅‍♀️#ВернитеЛето#НедостатокСолнца#НуженОтпуск#ОсенняяДепрессия ,145052233.0
95,1537478917.0,7160826,51514342_5077,0.0,0.0,0.0,5077.0,Моя любовь❤ulyanova_mimi,51514342.0
96,1537478844.0,7160826,449945002_242,0.0,0.0,0.0,242.0,☀️<br>#летоосень ,449945002.0
97,1537478831.0,7160826,17572706_8420,0.0,0.0,0.0,8420.0,Бухаем ё 😎💃🏻🕺 #fentimans  ,17572706.0
98,1537478683.0,7160826,265475068_5516,0.0,0.0,0.0,5516.0,#торт #тортспб #тортспбназаказ #тортпитер,265475068.0
99,1537478668.0,7160826,4558951_12443,0.0,0.0,0.0,12443.0,"Простите, мама, но балерина  з меня не вышла)",4558951.0
100,1537478658.0,10781,208164711_8527,59.843913,30.420238,18094710.0,8527.0,💃🏻💃🏻💃🏻💃🏻💃🏻,208164711.0
