,address,checkins,city,country,created,distance,group_id,group_photo,icon,latitude,longitude,pid,place_id,title,type,updated
245,Суворовский проспект 50,0,,,1484918259,280,,,https://vk.com/images/places/place.png,59.943468,30.384437,17193309,17193309,ГУ МВД РФ,21,1484918268.0
246,"Суворовский пр., д.61, Фонд социальных инициатив ""Мирные Люди""",0,2.0,1.0,1532563378,296,77810328.0,https://pp.userapi.com/c636121/v636121885/5da/kj3srYJZLxU.jpg?ava=1,https://vk.com/images/places/place.png,59.941164,30.381706,14556286,14556286,Форум родителей спортсменов,21,
247,"nail for female, м. Площадь Восстания, м. Чернышевская",0,2.0,1.0,1532562351,302,90856003.0,https://pp.userapi.com/c840333/v840333789/59a07/5x5PFUI0mTY.jpg?ava=1,https://vk.com/images/places/place.png,59.941145,30.381602,11418110,11418110,nail for female,21,
248,"Суворовский, 61",0,2.0,1.0,1532582221,314,133602211.0,https://pp.userapi.com/c836132/v836132627/4c902/2dndHs_4DDQ.jpg?ava=1,https://vk.com/images/places/place.png,59.941524,30.3814,17836745,17836745,"На связи - 191015, СПб",21,
249,"Суворовский пр., д. 61, пом. 23Н, Издательство  ""Астерион""",0,2.0,1.0,1534255558,314,139539900.0,https://pp.userapi.com/c840228/v840228510/3d7b9/lg6HSBoEzHM.jpg?ava=1,https://vk.com/images/places/place.png,59.941524,30.3814,21411016,21411016,Издательство Астерион,21,
250,,0,,,1384031587,317,,,https://vk.com/images/places/place.png,59.942549,30.381895,6900029,6900029,хочу провести с тобой ночку 😂,21,1384031590.0
251,Дегтярный переулок,0,,,1371323664,331,,,https://vk.com/images/places/place.png,59.938841,30.383649,5764793,5764793,_____,21,1377903722.0
252,Кавалергардская 4,0,2.0,1.0,1280742078,335,,,https://vk.com/images/places/restaraunt.png,59.94316,30.38229,3739,3739,Русалка,3,1334523843.0
253,"Суворовский пр., 61",0,2.0,1.0,1532566938,343,48071002.0,https://pp.userapi.com/c308623/v308623964/525a/KzPzqDC_6Fc.jpg?ava=1,https://vk.com/images/places/place.png,59.941003,30.380885,4426755,4426755,"Психодрама - ""РАЗГОВОР С МЕЧТОЙ""",21,
254,"Суворовский пр. 61, Бутик Frette",0,2.0,1.0,1532563668,346,51280532.0,https://pp.userapi.com/c625418/v625418546/4c272/J8fW7rsjGtI.jpg?ava=1,https://vk.com/images/places/place.png,59.940636,30.380951,4950725,4950725,Frette,21,
255,"Суворовский пр. 61, Офис",0,2.0,1.0,1532571528,346,45631144.0,https://pp.userapi.com/Ow6DH9V-L73RyxGT79JU_TEDGzcC6OdYEG6nxQ/I5npG1Sm8xQ.jpg?ava=1,https://vk.com/images/places/place.png,59.940636,30.380951,4024881,4024881,Loft project T4 Design,21,
256,Суворовский проспект 59,0,,,1483181039,352,,,https://vk.com/images/places/place.png,59.940567,30.380867,17012855,17012855,Скаоровский проспект 61,21,1483181042.0
257,4-ая линия В.О. д. 45,0,,,1440278405,369,,,https://vk.com/images/places/place.png,59.94126,30.380387,12676155,12676155,Wine Bar 74,21,1504895382.0
258,"Суворовский пр. 59, Центр ""Движение""",0,2.0,1.0,1532564859,375,43607268.0,https://pp.userapi.com/c317930/g43607268/e_313ddda2.jpg?ava=1,https://vk.com/images/places/place.png,59.940287,30.3806,3629907,3629907,Игры в свидания. Программа знакомств. Мастерская,21,
259,"Суворовский проспект 59, Остеопатическая гимнастика. Психотерапия.",0,2.0,1.0,1535373602,378,36883323.0,https://pp.userapi.com/c840220/v840220749/ffda/ZTbMF27nFyo.jpg?ava=1,https://vk.com/images/places/place.png,59.940307,30.38052,15869653,15869653,Остеопатическая гимнастика. Психолог.,21,
260,"Суворовский пр.59, Пространство ""Движение""",0,2.0,1.0,1352278984,389,45345251.0,https://pp.userapi.com/c604621/v604621240/37064/yfcR8uCZF70.jpg?ava=1,https://vk.com/images/places/place.png,59.940772,30.380107,3977979,3977979,Практики закрытыми глазами,21,
261,Суворовский просп 59,0,2.0,1.0,1532566187,389,29297772.0,https://pp.userapi.com/c5833/g29297772/e_d3592aeb.jpg?ava=1,https://vk.com/images/places/place.png,59.940772,30.380107,1754267,1754267,"Тренингово-продюсерский центр ""PROдвижение""",21,
262,"Суворовский пр. 59, Центр ""Движение""",0,2.0,1.0,1532566614,390,36401409.0,https://pp.userapi.com/c10572/g36401409/e_4bb2fc3c.jpg?ava=1,https://vk.com/images/places/place.png,59.940691,30.380116,1869096,1869096,КИНОПОКАЗЫ В ДВИЖЕНИИ,21,
263,"Суворовский проспект дом 59, центр ""Движение""",0,2.0,1.0,1532563061,390,37506468.0,https://pp.userapi.com/c9854/g37506468/e_ee071877.jpg?ava=1,https://vk.com/images/places/place.png,59.940691,30.380116,2079088,2079088,танцы,21,
264,"Суворовский проспект, д. 59, ЦР Движение",0,2.0,1.0,1532569885,390,36283594.0,https://pp.userapi.com/c302806/g36283594/e_6a4ef499.jpg?ava=1,https://vk.com/images/places/place.png,59.940691,30.380116,1853504,1853504,Релаксация на каждый день,21,
265,"Суворовский проспект дом 59, Пространство "" Движение""",0,2.0,1.0,1532560069,390,37989791.0,https://pp.userapi.com/c11334/g37989791/e_44200885.jpg?ava=1,https://vk.com/images/places/place.png,59.940691,30.380116,2179900,2179900,Сатсанг - медитация с Ом Ананда,21,
266,"улица Джона Рида, 3 корпус 1",0,,,1490176724,397,,,https://vk.com/images/places/place.png,59.940776,30.379972,17737668,17737668,суворовский проспект 60,21,
