address;longitude;latitude;addr_street;addr_number;addr_building;addr_letter;addr_district;comm_type;comm_num;comm_room_num;data_series;data_buildingdate;data_reconstructiondate;data_buildingarea;data_livingarea;data_nonolivingarea;data_stairs;data_storeys;data_residents;data_mansardarea;eng_heatingcentral;eng_heatingauto;eng_heatingfire;eng_hotwater;eng_hotwatergas;eng_hotwaterwood;eng_electro;eng_gascentral;eng_gasnoncentral;eng_refusechute;flat_type;flat_num;flat_room_num;internal_num;lift_exploitfromdate;lift_reconstructiondate;lift_repairdate;outclean_all;param_crdate;param_ukname;param_failure;repair_year;repair_job;rfc_shaftcount;roof_metalarea;seng_liftcount;seng_pzu;special_basementarea;number
г. Кронштадт Красная ул. 15;29.774471;59.989918;Красная ул.;15;;А;Кронштадский;;;;1-528 КПЗ;1965;;1738.90002441;1585.90002441;;2;5;78;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн.;10, 30;10, 60;;;;;707;12.04.2009;"ООО""ЖКС Кронштадтского района""";0.0;"2005; 2012";"Благоустройство придомовой территории; Ремонт или замена системы отопления";;555;;;446;7990
г. Кронштадт Зосимова ул. 22к2;29.760494;59.99732;Зосимова ул.;22;2;Б;Кронштадский;;;;Индивидуальный;1900;1974;731.020019531;570.799987793;;1;3;22;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн.;6, 6;6, 12;;;;;3637;12.04.2009;"ООО""ЖКС Кронштадтского района""";0.0;2013;Ремонт конструкций и замена покрытий крыш;;401;;1;270;8017
г. Кронштадт Широкая ул. 10;29.780454;59.994405;Широкая ул.;10;;А;Кронштадский;;;;Индивидуальный;1973;;1769;1579.19995117;;2;5;83;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн.;20, 10, 10;20, 20, 30;;;;;781;19.10.2010;"ООО ""ЖКС Кронштадтского района""";0.0;2006;Благоустройство придомовой территории;;;;2;358.100006104;8039
г. Кронштадт Владимирская ул. 17/5;29.772824161517914;59.997846517606305;Владимирская ул.;17/5;;А;Кронштадский;2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.;0, 1, 0, 0, 0, 0;0, 3, 0, 0, 0, 0;Индивидуальный;1917;1974;647;392.100006104;196.5;1;3;17;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.;2, 0, 3, 0, 0, 0, 0;2, 0, 9, 0, 0, 0, 0;1;;;;374;12.04.2009;"ООО""ЖКС Кронштадтского района""";0.0;"2006; 2008; 2008; 2012; 2012; 2012; 2012";"Благоустройство придомовой территории; Благоустройство придомовой территории; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш";;387;;1;;8123
г. Кронштадт Карла Либкнехта ул. 25;29.779969;59.994234;Карла Либкнехта ул.;25;;А;Кронштадский;;;;Индивидуальный;1964;;1700.90002441;1536.19995117;;2;5;97;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн.;20, 10, 10;20, 20, 30;;;;;1519;12.04.2009;"ООО""ЖКС Кронштадтского района""";0.0;2011;Благоустройство придомовой территории;;532;;2;424;8146
г. Кронштадт Кронштадтская ул. 17;29.766432;59.999732;Кронштадтская ул.;17;;А;Кронштадский;3 комн.;1;3;Индивидуальный;1900;1982;1402.36999512;1184.30004883;;3;2;81;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн.;13, 7, 4;13, 14, 12;;;;;2227;16.03.2010;"ООО""ЖКС Кронштадтского района""";0.0;"2006; 2007; 2007; 2008; 2011";"Благоустройство придомовой территории; Ремонт и восстановление озеленения; Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";;1094.80004883;;3;;8196
г. Кронштадт Советская ул. 15;29.78235;59.99283;Советская ул.;15;;А;Кронштадский;2 комн.;0;0;1-528 КП-2;1967;;2736.44995117;2511;;3;5;139;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн.;10, 45, 5;10, 90, 15;;;;;2424;14.12.2009;"ООО ""ЖКС Кронштадтского района""";0.0;"2004; 2005";"Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш";;;;3;683.83001709;8226
г. Кронштадт Велещинского ул. 9/13;29.761006;59.993896;Велещинского ул.;9/13;;А;Кронштадский;3 комн., 4 комн.;9, 2;27, 8;Индивидуальный;1917;1967;3068.19995117;2783.80004883;0.0;4;4;151;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;2 комн., 3 комн., 4 комн.;6, 17, 2;12, 51, 8;;;;;567;12.04.2009;"ООО""ЖКС Кронштадтского района""";0.0;"2000; 2011; 2011";"Благоустройство придомовой территории; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш";;1294;;4;696;8246
г. Кронштадт Петровская ул. 12/4;29.773897;59.987668;Петровская ул.;12/4;;А;Кронштадский;2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.;0, 0, 0, 0, 0, 0;0, 0, 0, 0, 0, 0;Индивидуальный;1975;;4315.39990234;3759.69995117;;4;5;175;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;1;1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.;19, 32, 21, 0, 0, 0, 0;19, 64, 63, 0, 0, 0, 0;;;;;1211;12.04.2009;"ООО ""ЖКС Кронштадтского района""";0.0;2006;Ремонт конструкций и замена покрытий крыш;4;;;4;734;8295
г. Кронштадт Гусева ул. 4;29.787299;59.992789;Гусева ул.;4;;А;Кронштадский;;;;Индивидуальный;1900;1963;566.799987793;461.799987793;0.0;2;3;32;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;2 комн., 3 комн.;7, 2;14, 6;;;;;661;12.04.2009;"ООО""ЖКС Кронштадтского района""";0.0;"2005; 2011; 2012; 2012; 2012; 2012; 2012";"Благоустройство придомовой территории; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш";;365;;;266;8365
